,cartao,cep,codigoMoedaDestino,codigoMoedaOrigem,cpf,dataCompra,dataEmissao,dataNascimento,dataValidade,empresa,estadoCivil,idConta,idEstabelecimento,idEventoCompra,idOperacao,latitude,limiteCredito,longitude,nome,numeroDependentes,numeroIdentidade,numeroParcelas,orgaoIdentidade,profissao,salario,sexo,tempoResidenciaAnos,tempoTrabalhoAnos,uf,valorCompra,valorParcela
0,5286086479249550,12312595,840.0,986.0,99998979757,2018-05-04T07:57:00,2015-11-01T01:00:15.820000,1964-11-21T00:00:00,2018-11-30T00:00:00,TRIANON CLUBE,1,8989,2783372.0,185364831,270,-23.2809577,1431.0,-45.9424164,CASSILANDIA SARRICO,0.0,10202,1,SSPMG,6.0,830.0,F,14.0,8.0,SP,17.0,17.0
1,6505146322433945,11680000,986.0,986.0,99998890691,2018-05-02T08:32:00,2017-12-17T23:34:56.340000,1970-12-19T00:00:00,2022-12-17T23:35:00,PAU BRASIL JATOBA,2,9777,31783445.0,185074303,10493,-23.4604094,2316.0,-45.0600579,JASILDA SERODIO,0.0,11093,1,SSPSP,5.0,1245.0,F,36.0,7.0,SP,15.16,15.16
2,6505146322433945,11680000,986.0,986.0,99998890691,2018-05-04T16:42:00,2017-12-17T23:34:56.340000,1970-12-19T00:00:00,2022-12-17T23:35:00,PAU BRASIL JATOBA,2,9777,32681551.0,185458707,10493,-23.460336,2316.0,-45.0598756,JASILDA SERODIO,0.0,11093,1,SSPSP,5.0,1245.0,F,36.0,7.0,SP,23.2,23.2
3,5286086480652987,12350000,840.0,986.0,99998194199,2018-05-02T06:09:00,2015-11-01T01:00:17.780000,1969-02-16T00:00:00,2018-11-30T00:00:00,,8,15850,33830297.0,185067276,270,-23.1865688,3000.0,-46.2031943,SALVINEIDE LIVINO,0.0,18058,1,SSPSP,23.0,830.0,F,5.0,0.0,SP,35.0,35.0
4,5286086480652987,12350000,840.0,986.0,99998194199,2018-05-04T17:02:00,2015-11-01T01:00:17.780000,1969-02-16T00:00:00,2018-11-30T00:00:00,,8,15850,31015483.0,185463762,270,-23.1866262,3000.0,-46.2029327,SALVINEIDE LIVINO,0.0,18058,1,SSPSP,23.0,830.0,F,5.0,0.0,SP,38.19,38.19
5,6505143059371806,83900000,986.0,986.0,99998050510,2018-05-04T18:21:00,2017-11-25T16:27:01.347000,1986-11-01T00:00:00,2022-11-25T16:27:00,FLAMA,2,17127,33310464.0,185483809,10493,-26.0676111,1000.0,-53.0481978,KANDYCI SARRICO,0.0,19494,1,SSPPR,20.0,813.4,F,21.0,4.0,PR,62.0,62.0
6,6505154662336215,18700590,986.0,986.0,99997863836,2018-05-02T18:31:00,2018-04-01T01:01:38.853000,1952-12-25T00:00:00,2023-04-30T00:00:00,COSTUREIRA,2,18783,31671853.0,185179743,10493,-23.1040989,2000.0,-48.9179215,GERLAN SARRICO,0.0,21361,1,SSPSP,3.0,701.35,F,6.0,0.0,SP,5.99,5.99
7,6505154662336215,18700590,986.0,986.0,99997863836,2018-05-02T10:51:00,2018-04-01T01:01:38.853000,1952-12-25T00:00:00,2023-04-30T00:00:00,COSTUREIRA,2,18783,31842122.0,185092028,10493,-23.0979932,2000.0,-48.9246733,GERLAN SARRICO,0.0,21361,1,SSPSP,3.0,701.35,F,6.0,0.0,SP,1.0,1.0
8,6505154662336215,18700590,986.0,986.0,99997863836,2018-05-02T15:06:00,2018-04-01T01:01:38.853000,1952-12-25T00:00:00,2023-04-30T00:00:00,COSTUREIRA,2,18783,31707786.0,185137361,10493,-23.0980441,2000.0,-48.9239036,GERLAN SARRICO,0.0,21361,1,SSPSP,3.0,701.35,F,6.0,0.0,SP,4.93,4.93
9,5286087447949100,12600610,840.0,986.0,99997531248,2018-05-27T16:28:00,2015-12-01T01:18:18.860000,1952-05-29T00:00:00,2018-12-31T00:00:00,CASAS DE ALUGUEIS,2,21751,34317192.0,189653367,270,-22.7399824,3000.0,-45.1242914,DAYLENE SANTOAS,0.0,24687,1,SSPSP,3.0,1660.0,F,53.0,26.0,SP,26.9,26.9
10,5286087447949100,12600610,840.0,986.0,99997531248,2018-05-03T12:44:00,2015-12-01T01:18:18.860000,1952-05-29T00:00:00,2018-12-31T00:00:00,CASAS DE ALUGUEIS,2,21751,5305193.0,185255651,270,-22.7371313,3000.0,-45.1257854,DAYLENE SANTOAS,0.0,24687,1,SSPSP,3.0,1660.0,F,53.0,26.0,SP,18.88,18.88
11,5286087447949100,12600610,840.0,986.0,99997531248,2018-05-04T16:12:00,2015-12-01T01:18:18.860000,1952-05-29T00:00:00,2018-12-31T00:00:00,CASAS DE ALUGUEIS,2,21751,31359072.0,185451537,270,-22.7371732,3000.0,-45.1258734,DAYLENE SANTOAS,0.0,24687,1,SSPSP,3.0,1660.0,F,53.0,26.0,SP,15.0,15.0
12,6505146322487435,18305140,986.0,986.0,99997237307,2018-05-02T10:52:00,2017-12-17T23:38:01.777000,1982-12-20T00:00:00,2022-12-17T23:38:00,LEGIONARIO NA DEFESA DE MENORES,2,24371,31627525.0,185092212,10493,-24.0324909,1000.0,-48.35628,GENITO SERODIO,0.0,27626,1,SSPSP,7.0,1079.0,F,16.0,12.0,SP,60.0,60.0
13,5286094748485132,9172180,840.0,986.0,99997190238,2018-05-01T14:01:00,2016-07-01T01:29:41.840000,1978-07-08T00:00:00,2019-07-31T00:00:00,ESTELA BRUNA SANTO,1,24788,6086708.0,185017588,270,-23.6958809,1740.0,-46.5136401,JECICLECIA ESTENHO,0.0,28097,1,SSPSP,3.0,830.0,F,11.0,12.0,SP,18.9,18.9
